,Post,IdFatherComment,Date,Caption,likesComment,Username,IdChildComment
249,249,18030556891220972,1569765150,@franniee.b,1,dkouroupis99,
250,250,17865698890500517,1569675860,@rosaelena07 @ximenoboa your kids! Lol,1,realestate_ric_,
251,251,17882947801430568,1569638476,🤘🧚‍♂️🤘,0,waygoer,
252,252,18062960608161024,1569628202,@8lijah_rahal @jazzy_oama_flower,0,nanulovesu,
253,253,17843971273687825,1569596312,@kaecurameng,1,gabe.canicosa,
254,254,17844365656673011,1569549678,Still waiting for ludicrous mode @jspresley,2,hpresley,
255,255,17891702086399141,1569351782,Tesla 2020 Roaster is finna be a blast,0,zeek920,
256,256,17852819956584661,1569341856,@marquettemoore 😑,0,jazmyn_moore,
257,257,17914869040346328,1569132315,"When guys go from doing this in Lamborghinis and GTRs to Teslas, that's when you know you've made it",0,soza.pidgeon,
258,258,17891470321396149,1569093272,@smonfscher @DerLiebePorschefahrerDerMichZumRennenAuffordernWollte🤔🔝😂🙌🏻,0,b1ack.angel,
259,259,17901667906374897,1569068381,@rsn.leon Giel misschien 🤣🤣,0,nathandamsteeg,
260,260,18021009682233493,1568993609,Hi @helen_wadurmelon,0,deanlalap,
261,261,17842362139688057,1568931179,@iwokeuplikethisyup Type “R” 🤣,0,adamantium_steele,
262,262,18053841331183330,1568916458,@teslamotors ❤❤❤❤,0,hamelikianoosh,
263,263,17845290835642141,1568912432,Is this video taken with the internal cameras?,1,cptn_rex,
264,264,17873470996456163,1568831428,@kellyjenine except I push your forehead back first 😂,0,brian_shim,
265,265,18030556327211812,1568698101,👍,0,art.mehdi_sh,
266,266,18028584304222283,1568611634,@mimitinthisb ❤️,1,morganttbrielle,
267,267,17888385583401563,1568537905,Sorry no engine revs=boring car,0,e_k_workout_n_eats,
268,268,18033260695200577,1568515085,@dr.kaylamarie,0,m.ttg,
269,269,18081465298104565,1568424810,@alibutskiy,1,konz_b,
270,270,17867930155476364,1568403511,@hannahcurtyy,1,bo_aylor,
271,271,18100305007015182,1568403366,@marqu33n,0,ealopez16,
272,272,17842545511664277,1568327867,@toeheadbaby,1,michael.conley.3538,
273,273,18074410693127300,1568298642,@paula.g25 @_alise23_  jaasametaas un jaanopeerk visaam kopaa😭😍😂😂,1,ngc1964,
274,274,18014470003246863,1568286425,@tonjevendela,0,jorgenwaa,
275,275,18075322132121353,1568268058,@whitbh,0,samir.t92,
276,276,18053612002175593,1568255515,Do U have Thai musics?😅😁,0,malinaka6,
277,277,17851853755569230,1568246093,"Hello My name is Mohammad from Iran My age is 19 years I have a few ideas about cars And I have inventions in the field of cars I have invented a device that can help keep the cabin temperature at the right temperature after the car is turned off to prevent the car's leather from disappearing, and I have several other ideas that I would be happy to work with",1,mohamadali.mollaei,
278,278,17889370555396374,1568208679,👏👏,0,46_motors,
279,279,17851709743571655,1568208676,👏👏,0,46_motors,
280,280,17884567279416849,1568181051,That torque 🔥,0,teslavseverything,
281,281,17850296821581897,1568146797,@alexandra_renuka,0,mosmrkissoon,
282,282,18069903349141409,1568131507,:D,0,emanuelzichtl,
283,283,17873894350446638,1568101174,@dr_adams,0,yesmrking,
284,284,17994457762269322,1568090836,Love the launch 🚀,0,analogsystems,
285,285,18000289477254947,1568074402,We should collab on a Kings DJ Tesla Model X 😝💜🎶🚘👌🏽🏀,0,dj_eddie_z,
286,286,18098381080027069,1567994198,My remission gift 🎁 💕💁🏼‍♀️🌈✨ 4 years.. 🚗 ❤️✨,0,megxhilll,
287,287,17871807853455256,1567993084,@atencio_nicole,0,shawnphipps,
288,288,17915491267334409,1567960861,@that_hair lmao your neck,1,coldlove_,
289,289,18099413164051100,1567956167,Tesla ♡♥♡♥♡♥♡,0,121mostafa.kh,
290,290,18064984786130896,1567903723,@lsabs7 @jsteti,0,dannypolj,
291,291,18062600716149640,1567886800,@dahomi3.l0aky ur dads car lmao,1,frankcanchola_1,
292,292,18032172727206072,1567886797,@ntinab95,0,schkarpa,
293,293,18062712625180004,1567790024,I would follow this page but her face annoys me,2,stephaniebenzcsq,
294,294,17859105490509749,1567780333,hope one day ill be able to have one!,0,adria_trade,
295,295,17907761866359157,1567763336,💯,1,dailyhabitsofamouspeople,
296,296,18052466119175711,1567741306,❤️❤️❤️,0,888makai,
297,297,18067693576081565,1567726738,"This is awesome, @mikepfau! “I cannot not react” sounds about right when we’re talking about @teslamotors. 🙌",0,usmarttech,
298,298,17892756037382584,1567713079,😍,0,tohidhsn,
299,299,17872637857452065,1567709459,@celineverkade,0,jorenverkade,
300,300,17901497170370052,1567704247,Happy international day of Charity! ❤️,0,threehorizonsorg,
301,301,17853558232558912,1567703769,Follow me if you like cars,0,is_that_a_supra2k19,
302,302,17867972239467827,1567702690,Or you could just buy a supra,0,harry_tw03,
303,303,17992224187269936,1567702556,@farrahmuwalla,0,hunter_hartman,
304,304,17849754490564843,1567701149,@lauriane1211 je ne suis pas le seul xD,0,alextonthat,
305,305,17850631990567786,1567697234,Nice hairline,0,jon_jft,
306,306,17853152317545075,1567689592,@trickred mi sta salendo,1,claudiodallalibera,
307,307,18097600762039091,1567684853,"I´m waiting since over 2 months for my front and rear window of my Model 3 here in Europe!!! Give a boost to the logistic, its a shame that I m left without my car for all this time!  Agreiter Philipp, Italy",0,autoservice_agreiter,
308,308,18095370910013940,1567668188,🔥🔥👋🏻👋🏻,0,ridetechnews,
309,309,18079044553110612,1567665800,As Tesla user we need the Wifi working as cellular network .. specially when there is no coverage area .. now we have mobile internet and wifi working fine .. what if you out of the state .. to keep car always connected .. the wifi is the solution .. remove the Barriers and let your customers enjoy their Tesla by the way they like,0,mohdysf2,
310,310,17999004487259547,1567660853,@bigevil WONDER WHAT HES DOING IF THERES LIKE A MODE OR something,0,suzyshinn,
311,311,17892685795390733,1567658953,🚀🚀🚀,0,wave_of_potential,
312,312,17892580129379348,1567650087,This would definitely be the weirdest car commercial ever,0,magicmillard,
313,313,17844532660624199,1567642948,Uh huh,0,christylynnr18,
314,314,18061407082177380,1567638828,@johnchristierd @marsha_bart,0,coach_brettb,
315,315,17888294299398775,1567637931,My 2-year-old loves when I do this. It feels even more intense to her since she is in the back seat.,0,theresiahallmark,
316,316,17848350799592575,1567637247,"Grande @teslamotors , davvero un bel fungo!",1,andreajoseasa,
317,317,17850355039571208,1567631599,Like if the Porsche Taycan Turbo S is better,0,mems4koolkiddos,
318,318,18097226173054344,1567626244,"Hey, can I please have a model 3, white exterior, with autonomous mode, that’s all I want in life, thanks have a good day.",2,tyberol,
319,319,17910057316347962,1567624958,Hit em with the zoom zoom!,0,thekingslayer419,
320,320,18012766012243635,1567623950,@colleennicki_ 🤘🏼,0,dpardo_19,
321,321,17903329726366026,1567623414,Indeed every morning during my trip to work the same fun,0,guntherwiehl,
322,322,17849013997583235,1567623177,"After a while, you will get used to acceleration so it does get old",0,jj_hixks,
323,323,18097759396001940,1567622422,More fun in a gasoline powered car though,0,marcohshit,
324,324,17872271131451852,1567618362,@chloe_payne22,0,brandondarnes,
325,325,17883284107412323,1567617799,@christylynnr18,0,kyle7777,
326,326,17892287356383774,1567612520,@ no one because I don’t have a Tesla YET I want one sooooo bad 😭,1,yupp_its_eric,
327,327,18088859032072729,1567612069,@lausvv als de m3p binnenkomt 😍,2,jegberink,
328,328,18096426571000350,1567607616,@jai.rom,1,m.rogers4,
329,329,18016675687237123,1567607177,@s.glover50 @chrislo898,0,cardenb,
